id,alunoId,consultorId,turmaId,trilhaId,ciclo,sessionNumber,sessionDate,presence,taskStatus,engagementScore,feedback,batchId,createdAt,notaEvolucao,mensagemAluno,taskId,taskDeadline,relatoAluno,isAssessment,evidenceLink,evidenceImageUrl,evidenceImageKey,submittedAt,validatedBy,validatedAt,customTaskTitle,customTaskDescription,taskMode,textoAplicabilidade,notaAlunoAplicabilidade,notaMentoraAplicabilidade,aplicabilidadeAvaliadaEm,tipoSessao,appointmentId
30001,199,14,36,,I,1,2024-08-15 00:00:00,presente,entregue,3,Dados históricos - informações de mentoria não disponíveis,,2026-02-12 23:12:14,3,,,,,1,,,,,,,,,sem_tarefa,,,,,individual_assessment,
30002,199,14,36,,II,2,2024-09-15 00:00:00,presente,entregue,3,Dados históricos - informações de mentoria não disponíveis,,2026-02-12 23:12:14,3,,,,,0,,,,,,,,,sem_tarefa,,,,,individual_normal,
30003,199,14,36,,III,3,2024-10-15 00:00:00,presente,entregue,3,Dados históricos - informações de mentoria não disponíveis,,2026-02-12 23:12:14,3,,,,,0,,,,,,,,,sem_tarefa,,,,,individual_normal,
30004,199,14,36,,IV,4,2024-11-15 00:00:00,presente,entregue,3,Dados históricos - informações de mentoria não disponíveis,,2026-02-12 23:12:14,3,,,,,0,,,,,,,,,sem_tarefa,,,,,individual_normal,
30005,199,14,36,,IV,5,2024-12-15 00:00:00,presente,entregue,3,Dados históricos - informações de mentoria não disponíveis,,2026-02-12 23:12:14,3,,,,,0,,,,,,,,,sem_tarefa,,,,,individual_normal,
30006,200,14,36,,I,1,2024-08-15 00:00:00,presente,entregue,3,Dados históricos - informações de mentoria não disponíveis,,2026-02-12 23:12:14,3,,,,,1,,,,,,,,,sem_tarefa,,,,,individual_assessment,
30007,200,14,36,,II,2,2024-09-15 00:00:00,presente,entregue,3,Dados históricos - informações de mentoria não disponíveis,,2026-02-12 23:12:14,3,,,,,0,,,,,,,,,sem_tarefa,,,,,individual_normal,
30008,200,14,36,,III,3,2024-10-15 00:00:00,presente,entregue,3,Dados históricos - informações de mentoria não disponíveis,,2026-02-12 23:12:14,3,,,,,0,,,,,,,,,sem_tarefa,,,,,individual_normal,
30009,200,14,36,,IV,4,2024-11-15 00:00:00,presente,entregue,3,Dados históricos - informações de mentoria não disponíveis,,2026-02-12 23:12:14,3,,,,,0,,,,,,,,,sem_tarefa,,,,,individual_normal,
30010,200,14,36,,IV,5,2024-12-15 00:00:00,presente,entregue,3,Dados históricos - informações de mentoria não disponíveis,,2026-02-12 23:12:14,3,,,,,0,,,,,,,,,sem_tarefa,,,,,individual_normal,
