id,alunoId,assessmentCompetenciaId,competenciaId,assessmentPdiId,taskLibraryId,titulo,descricao,definidaPor,isActive,createdAt,updatedAt
30001,90013,90004,30012,90002,,Liderar um projeto de mudança,Trazer um relato da experiencia para o mentor na reunião de mentoria.,39,1,2026-03-07 22:18:01,2026-03-07 22:18:01
60001,90013,90005,30014,90002,,Desafio 3P: Posicionamento Ponderado e Persuasivo,"Durante as próximas 4 semanas, identifique 3 situações por semana onde você normalmente se calaria ou seria passiva. Nelas, pratique expressar sua opinião ou necessidade de forma clara, objetiva e respeitosa, utilizando a estrutura 'Eu sinto/penso X sobre Y, e sugiro Z'. Ao final do mês, analise o impacto dessas intervenções e os aprendizados sobre sua comunicação.",39,1,2026-03-08 00:10:56,2026-03-08 00:10:56
90001,90013,120001,30006,120001,41,Rotina Matinal,,39,1,2026-03-08 15:43:01,2026-03-08 15:43:01
120001,570031,180002,30012,180002,,Desafio de Adaptação a Mudanças de Prioridade,"Nos próximos 30 dias, identifique proativamente e adapte-se a pelo menos 3 mudanças inesperadas de prioridade em seus projetos ou tarefas. Para cada mudança, documente como você ajustou seu plano inicial, comunicou a alteração às partes interessadas e avalie a eficácia de sua adaptação para garantir a entrega, buscando feedback de um colega ou líder.",,1,2026-03-19 00:37:08,2026-03-19 00:37:08
120002,570031,180002,30012,180002,32,Plano de Aprendizado,,,1,2026-03-19 00:37:19,2026-03-19 00:37:19
120003,570031,180002,30012,180002,,Implementar 2 novas ferramentas ou processos em 30 dias,"Nos próximos 30 dias, identifique e implemente ativamente duas novas ferramentas, metodologias ou processos de trabalho em sua rotina, mesmo que não sejam obrigatórios. Ao final, avalie o impacto e sua curva de aprendizado para desenvolver resiliência a mudanças.",,1,2026-03-19 00:37:39,2026-03-19 00:37:39
120004,570031,180001,30003,180001,,Implementar a Técnica Pomodoro e Análise de Tempo,"Durante 30 dias, utilize a Técnica Pomodoro (25 min de foco, 5 min de pausa) para todas as tarefas que exijam concentração. Ao final de cada semana, analise como o tempo foi gasto e identifique 2-3 oportunidades de melhoria para a semana seguinte, visando otimizar a produtividade e reduzir interrupções.",,1,2026-03-19 00:38:07,2026-03-19 00:38:07
120005,570031,180001,30003,180001,,Desafio de Gestão do Tempo: Bloco de Foco Ininterrupto,"Durante as próximas 3 semanas, reserve 90 minutos ininterruptos diariamente para uma tarefa prioritária, sem checar e-mails, mensagens ou atender chamadas. Ao final de cada semana, avalie o impacto na sua produtividade e na conclusão de projetos importantes.",,1,2026-03-19 00:38:26,2026-03-19 00:38:26
150001,660014,210004,30014,210002,,Realizar Palestra na Comunidade que participa,,39,1,2026-03-20 17:43:59,2026-03-20 17:43:59
150002,660014,210004,30014,210002,,Participar ativamente nas reuniões da empresa,,39,1,2026-03-20 17:45:29,2026-03-20 17:45:29
